number,value,datetime_start,datetime_complete,duration,params_discard_2_exit_value,params_discard_3_4_exit_value,params_discard_dead_end_value,params_discard_duplicate_penalty,params_discard_enemy_door_value,params_discard_key_useless_value,params_discard_ladder_value,params_discard_own_door_value,params_ladder_bonus,params_max_kept_repairs,params_max_kept_sabotages,params_rockfall_base,params_rockfall_gold_penalty,params_rockfall_ladder_bonus,params_rockfall_own_path_penalty,params_sabotage_cart_weight,params_sabotage_lamp_weight,params_sabotage_pickaxe_weight,state
0,0.5,2026-05-10 19:07:06.862934,2026-05-10 19:07:06.879143,0 days 00:00:00.016209,19.70376821774833,21.52323109246379,-10.878403374084158,-30.012020679629963,-6.388952288185912,-36.736542740474476,58.939879920423806,-2.93949002555955,19.90328019201943,2,1,49.00166186487353,99.86865653150755,20.526662314882913,56.771222618465195,20.146206528860006,17.503612058358954,8.228486574767555,COMPLETE
1,0.5,2026-05-10 19:07:06.879196,2026-05-10 19:07:06.881507,0 days 00:00:00.002311,29.884205240388788,33.80591543489788,-14.617476283632946,-19.3852712193467,-14.587136746884397,-1.0560202639804785,66.7397734994396,-10.633463061165314,30.883809396121542,2,3,11.023787126364425,30.301381167965324,26.30700945861566,56.07477059949,6.183226465575582,25.92686603758451,13.82488936099407,COMPLETE
2,0.5,2026-05-10 19:07:06.881540,2026-05-10 19:07:06.883765,0 days 00:00:00.002225,23.494208482522403,66.56202784123505,-7.0310479118131255,-33.53363088799563,-12.768826334014143,-10.872117505372401,72.03146191979033,7.772637045644707,47.2581757771922,2,2,15.345497296384657,88.92692840098377,48.686897685638584,71.62772241442235,21.735639415820263,12.553604422620268,18.79451256685764,COMPLETE
3,0.5,2026-05-10 19:07:06.883789,2026-05-10 19:07:06.886009,0 days 00:00:00.002220,24.61965930055286,56.381138276172166,-23.299833911210687,-29.001999017465007,-29.809997572835506,-33.190695844195574,63.55918134857436,10.236784027591174,44.33317396306424,3,1,36.42501857012917,78.71631766228184,53.469748771187405,46.231594545565834,7.958431781535806,27.673271338484344,10.127874059408704,COMPLETE
4,0.5,2026-05-10 19:07:06.886031,2026-05-10 19:07:06.888282,0 days 00:00:00.002251,20.516037804827583,76.0942426560069,-4.865534782576596,-3.5722029025161532,-24.96504039972347,-47.35396459443362,47.32437435885983,0.536965053921513,49.344283972436145,3,1,14.214652237152446,15.741350332191187,44.48815141224498,27.504120830871013,21.91470462665485,17.935451471600775,14.09513417869501,COMPLETE
5,0.5,2026-05-10 19:07:06.888307,2026-05-10 19:07:06.890542,0 days 00:00:00.002235,1.868677971862862,53.84355539013748,-13.717063919673087,-32.48129970530659,-25.50775287767717,-30.19802443220152,40.238533902992216,-1.1910774722245598,20.30283534390515,2,3,39.70389978680312,44.66138763492424,26.553340597375723,92.06265700136706,6.666286268490868,18.60123187985235,19.825215874324638,COMPLETE
6,0.5,2026-05-10 19:07:06.890564,2026-05-10 19:07:06.892775,0 days 00:00:00.002211,20.33054474436017,72.10051268329958,-21.793037956706506,-15.157957222464205,-34.51659706324833,-5.697995637919,34.35637811441892,12.914447193191037,19.655834356263483,2,1,48.9594255488906,65.28744141814781,74.06899951519335,43.826360815553855,26.187243993128195,23.27904110770355,14.786177868404591,COMPLETE
7,0.5,2026-05-10 19:07:06.892796,2026-05-10 19:07:06.894995,0 days 00:00:00.002199,16.01902741778435,41.024351533172336,-39.022098505303774,-33.11692203202119,-5.987790413765879,-44.869934394558555,41.11327212782417,-4.062827168553262,47.99703772444504,3,4,47.13450985316443,28.45395858983035,73.41409655678365,15.518395033207884,5.35877160858003,11.830153557212936,18.150672987135067,COMPLETE
8,0.5,2026-05-10 19:07:06.895015,2026-05-10 19:07:06.897187,0 days 00:00:00.002172,8.491266865799723,79.91351435006987,-35.8065336333725,-1.080614290916408,-26.44035576906387,-15.760489744666181,81.86026956883343,1.2236511628742939,17.222832698492404,2,3,18.16867299388933,32.10612664185266,25.55803910315027,75.13638909991792,20.85757000946181,10.575023186061731,4.323134884310622,COMPLETE
9,0.5,2026-05-10 19:07:06.897208,2026-05-10 19:07:06.899383,0 days 00:00:00.002175,22.966646482121305,47.71396684617181,-11.309269180897147,-16.933554203103945,-6.92588111833664,-27.81213311039728,63.35821333146209,-1.4420724429119431,42.53103397036409,3,1,28.15573478827027,56.108512420974414,48.220396424844616,47.74260958562053,10.441135835770458,29.72305573176257,17.692683511599245,COMPLETE
10,0.5,2026-05-10 19:07:06.899403,2026-05-10 19:07:06.917265,0 days 00:00:00.017862,-1.2616498896073693,22.196395990588424,-33.35525774018827,-39.62963047161118,-49.15738823015124,-38.96192634781267,90.87410518533387,-17.475447520651954,5.976366365815672,1,2,25.863079726456522,99.49103170259264,37.29655407588481,99.25519440283256,13.625077853903246,6.651291599310452,6.284133131187524,COMPLETE
11,0.5,2026-05-10 19:07:06.917299,2026-05-10 19:07:06.931458,0 days 00:00:00.014159,29.459175625948255,23.340590591431997,-0.6073311303120104,-23.669493848342974,-0.07651399667382819,-18.531335668288364,53.4241750057802,-12.647894883220674,33.0299533387432,1,4,22.823023562736825,10.106321055614352,23.124293398969034,60.79806466977468,15.28537986237217,22.5012880060858,9.19517927444794,COMPLETE
12,0.5,2026-05-10 19:07:06.931491,2026-05-10 19:07:06.946064,0 days 00:00:00.014573,-9.850770385876292,33.00799042109734,-16.8798989823914,-11.01222146824903,-17.01076224879175,-0.00976814096075529,74.24618119760005,-8.27441310298433,30.309565993306443,2,3,34.48311067801237,70.81743221969933,35.653752008304004,63.63137956698284,28.114996458176233,24.461272609985226,12.368418500088932,COMPLETE
13,0.5,2026-05-10 19:07:06.946098,2026-05-10 19:07:06.960263,0 days 00:00:00.014165,13.875124431196909,34.554551896186126,-48.06455463396462,-23.543616783757557,-15.11566003437347,-23.20511073713515,56.15392548630875,-19.80283607120394,36.39676371863832,1,2,42.72120314465654,43.830553376012816,20.47035854879876,31.774817458261218,18.506001782804525,14.75506751262733,7.331719242738632,COMPLETE
14,0.5,2026-05-10 19:07:06.960297,2026-05-10 19:07:06.974392,0 days 00:00:00.014095,29.477960091659202,28.79644498204296,-28.125181201776353,-24.094750322069515,-9.352227526450369,-37.769977603344984,79.57782546915925,19.374665737394714,23.835174952907977,2,3,11.336725249644612,26.59033981153649,60.75497052784536,79.24920156047484,12.08889478982203,20.022252337309286,3.145200231299958,COMPLETE
15,0.5,2026-05-10 19:07:06.974423,2026-05-10 19:07:06.988807,0 days 00:00:00.014384,9.741770029296175,40.76942342191229,-18.608895887793945,-9.750027327506267,-0.7310342527801685,-38.30661392906844,94.16605104335788,-10.117616037139637,12.475511238653123,1,2,31.636271435258124,46.39437053396718,33.50558855305888,52.4056008244378,17.01267575764804,26.216691437955085,13.371561960330169,COMPLETE
16,0.5,2026-05-10 19:07:06.988839,2026-05-10 19:07:07.002905,0 days 00:00:00.014066,16.012039091220338,20.16150510001985,-10.062628846642557,-19.56404268218241,-20.16626737956697,-21.645580264451056,55.872359524233225,-13.954672902190751,26.590519376203662,2,4,21.344054199145674,99.33818685605256,30.21336442517302,30.940029277667197,24.84836886986129,15.309604052438765,16.054699126062914,COMPLETE
17,0.5,2026-05-10 19:07:07.002937,2026-05-10 19:07:07.017008,0 days 00:00:00.014071,29.077153257059948,29.535314676574096,-0.7251897935910385,-27.669968591446946,-44.57658606740728,-11.579230175154297,68.93003168123681,-6.3548253752801145,35.91495518008429,3,2,43.61514271041658,81.66200616909174,41.03002705301842,65.13040010775104,19.290447094359095,20.947384081776697,11.756423123691558,COMPLETE
18,0.5,2026-05-10 19:07:07.017040,2026-05-10 19:07:07.031549,0 days 00:00:00.014509,26.277702194033573,39.74162899833793,-28.87399555392678,-39.18638551864011,-19.35450748126886,-4.117652802120091,82.58763433180911,5.54659033803068,11.896257791261103,1,3,31.178712286698595,59.89219514811504,59.06921045823568,84.08026296763344,10.015861235990542,5.467785806620871,8.429310359136643,COMPLETE
19,0.5,2026-05-10 19:07:07.031581,2026-05-10 19:07:07.045877,0 days 00:00:00.014296,19.665055817893588,27.09160417466747,-13.53611472312415,-11.754436027437999,-10.70596023898333,-33.30839379766649,99.93140024866733,-13.044500258249311,24.970800911936102,2,4,24.40785444489096,36.80185220490567,20.0348924416868,39.96636826292719,15.708087714090368,29.860033757210978,15.970326507375667,COMPLETE
20,0.5,2026-05-10 19:07:07.045910,2026-05-10 19:07:07.059944,0 days 00:00:00.014034,4.605995139852479,48.376743616915974,-18.085371547735058,-27.8307696676152,-5.051899037128486,-42.76973852216184,61.90025880121658,-4.823189658208409,40.42959767656467,2,1,10.299963334342216,20.687968397904072,30.216819791463525,56.837917809009134,24.090374215922633,25.43507029346394,5.323716043584166,COMPLETE
