number,value,datetime_start,datetime_complete,duration,params_act_boom,params_act_key,params_act_map,params_door_count_base,params_ladder,params_sabotage_count,state
0,38.8888888888889,2026-05-10 23:16:57.417456,2026-05-10 23:18:07.050080,0 days 00:01:09.632624,1,3,3,2,2,1,COMPLETE
1,33.0,2026-05-10 23:18:07.050391,2026-05-10 23:19:00.855644,0 days 00:00:53.805253,3,3,3,1,3,2,COMPLETE
2,53.88888888888889,2026-05-10 23:19:00.855873,2026-05-10 23:19:54.764157,0 days 00:00:53.908284,2,3,2,1,3,2,COMPLETE
3,58.55555555555556,2026-05-10 23:19:54.764381,2026-05-10 23:21:02.810430,0 days 00:01:08.046049,1,2,3,1,3,2,COMPLETE
4,44.777777777777786,2026-05-10 23:21:02.810681,2026-05-10 23:21:54.003919,0 days 00:00:51.193238,2,3,1,1,2,2,COMPLETE
5,58.66666666666668,2026-05-10 23:21:54.004145,2026-05-10 23:22:39.053302,0 days 00:00:45.049157,2,1,2,2,3,3,COMPLETE
6,29.222222222222236,2026-05-10 23:22:39.053538,2026-05-10 23:23:46.472214,0 days 00:01:07.418676,1,3,1,1,3,1,COMPLETE
7,44.00000000000001,2026-05-10 23:23:46.472426,2026-05-10 23:24:38.707865,0 days 00:00:52.235439,3,3,1,1,3,2,COMPLETE
8,26.444444444444454,2026-05-10 23:24:38.708078,2026-05-10 23:25:25.101761,0 days 00:00:46.393683,3,1,1,1,2,2,COMPLETE
9,44.66666666666667,2026-05-10 23:25:25.101982,2026-05-10 23:26:47.996315,0 days 00:01:22.894333,3,3,2,2,3,1,COMPLETE
10,55.0,2026-05-10 23:26:47.996606,2026-05-10 23:31:42.365924,0 days 00:04:54.369318,3,1,1,2,1,3,COMPLETE
11,24.66666666666668,2026-05-10 23:31:42.366134,2026-05-10 23:32:41.200713,0 days 00:00:58.834579,1,2,1,1,2,1,COMPLETE
12,31.00000000000001,2026-05-10 23:32:41.200920,2026-05-10 23:33:39.791411,0 days 00:00:58.590491,1,2,1,1,2,1,COMPLETE
13,65.33333333333336,2026-05-10 23:33:39.791656,2026-05-10 23:34:15.721463,0 days 00:00:35.929807,2,1,1,1,1,3,COMPLETE
14,42.88888888888889,2026-05-10 23:34:15.721684,2026-05-10 23:35:15.748676,0 days 00:01:00.026992,2,2,2,1,2,1,COMPLETE
15,53.555555555555564,2026-05-10 23:35:15.748911,2026-05-10 23:36:08.916085,0 days 00:00:53.167174,3,1,2,1,1,1,COMPLETE
16,44.333333333333336,2026-05-10 23:36:08.916312,2026-05-10 23:36:59.140436,0 days 00:00:50.224124,1,2,1,1,2,2,COMPLETE
17,64.66666666666669,2026-05-10 23:36:59.140647,2026-05-10 23:37:40.804848,0 days 00:00:41.664201,2,1,1,2,2,3,COMPLETE
18,43.0,2026-05-10 23:37:40.805110,2026-05-10 23:38:37.435319,0 days 00:00:56.630209,1,2,1,1,1,1,COMPLETE
