number,value,datetime_start,datetime_complete,duration,params_approach_bonus_base,params_dead_end_penalty,params_discard_2_exit_value,params_discard_3_4_exit_value,params_discard_dead_end_value,params_discard_duplicate_penalty,params_discard_enemy_door_value,params_discard_key_useless_value,params_discard_ladder_value,params_discard_own_door_value,params_down_opening_bonus,params_enemy_door_penalty,params_ladder_bonus,params_max_kept_repairs,params_max_kept_sabotages,params_own_door_bonus,params_retreat_penalty,params_rockfall_base,params_rockfall_gold_penalty,params_rockfall_ladder_bonus,params_rockfall_own_path_penalty,params_sabotage_cart_weight,params_sabotage_lamp_weight,params_sabotage_pickaxe_weight,params_side_step_bonus,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:optimizer:10,system_attrs_cma:optimizer:2,system_attrs_cma:optimizer:3,system_attrs_cma:optimizer:4,system_attrs_cma:optimizer:5,system_attrs_cma:optimizer:6,system_attrs_cma:optimizer:7,system_attrs_cma:optimizer:8,system_attrs_cma:optimizer:9,state
0,0.82,2026-05-10 17:52:25.855066,2026-05-10 17:52:33.447833,0 days 00:00:07.592767,41.77960818259103,41.52383571190842,7.610505002038137,44.01055617420423,-33.33825359808418,-13.621468339432703,-27.749212222479695,-28.419134628366557,57.79627607234146,7.193786812755743,9.084881766442471,7.255713172780388,10.389170797502304,0,2,0.8373003625667785,29.398480126720784,24.978512811690774,51.72642963146578,41.753577643440835,59.42081802566166,4.0691413717815745,4.477896366498645,3.0219028840086373,6.178385088388207,,,,,,,,,,,,,COMPLETE
1,0.8166666666666667,2026-05-10 17:52:33.447901,2026-05-10 17:52:41.021210,0 days 00:00:07.573309,31.11463326487791,44.778511796141316,12.342679558036586,39.29657756794744,-16.6844125051692,-12.517565121856972,-16.560743779073483,-20.532252868081954,53.330480181605196,8.74074120757843,26.282084333791865,16.396069256754842,31.98338981514133,1,2,10.876148301566694,37.35350336400978,17.34891477129503,55.443109930865326,31.501871919483442,38.38132229613255,1.89825636913488,3.1948058873495504,2.160066362146577,8.51996728008534,0.0,,,,,,,,,,,,COMPLETE
2,0.8733333333333333,2026-05-10 17:52:41.021265,2026-05-10 17:52:48.124721,0 days 00:00:07.103456,61.70627651189222,44.32139668468599,14.901795253406272,27.558451342166244,-16.73964783967098,-11.090139487119067,-11.448137734783533,-24.490407772005163,58.59715868059541,14.187719567167933,24.681525710320372,18.805593720259008,37.90896940742989,2,1,17.95099772127812,40.28527137085076,17.133826259904858,61.189317118018906,22.411670094320847,55.86158179400121,2.7323525500517407,2.292386335395822,2.8036970140589843,8.152042762082228,0.0,,,,,,,,,,,,COMPLETE
3,0.8533333333333334,2026-05-10 17:52:48.124773,2026-05-10 17:52:55.905943,0 days 00:00:07.781170,58.21927518512128,25.87526004656693,11.58621011162468,28.836637819320693,-29.613182486948503,-11.442711611897415,-15.519058775158255,-27.977712577320485,47.60192515239058,13.36264873728495,2.1930442645899384,17.304676398377804,22.472609226865252,1,1,11.994952279492024,32.843961528484954,23.81616400636488,56.89683405622129,22.561293374293353,50.6031934402525,3.3419178286191595,3.303035628671957,2.2763125274333924,8.084398980513138,0.0,,,,,,,,,,,,COMPLETE
4,0.8766666666666667,2026-05-10 17:52:55.905991,2026-05-10 17:53:02.924366,0 days 00:00:07.018375,45.34833355682152,47.051882100889536,11.128774969602373,35.02952985132446,-15.022412819977372,-13.657289956451706,-13.482187577081824,-25.143749900638824,58.19289910209947,9.156714975628988,11.182488549306578,14.693697312172489,16.223930656248726,0,2,13.14689507279653,57.183995732537326,23.820277553830838,44.99067981812159,30.60130442251979,38.2630422205299,3.5673356674995915,2.919631146876819,2.263637186645514,10.35450036515809,0.0,,,,,,,,,,,,COMPLETE
5,0.83,2026-05-10 17:53:02.924417,2026-05-10 17:53:10.630749,0 days 00:00:07.706332,49.53384811349106,36.829028313584296,3.3607088988983893,26.97316536261781,-6.710424067177783,-6.405101862300281,-7.590028474805962,-16.57874456693051,55.684709361444966,5.929448057524301,13.053702420665603,24.50621337727064,13.54494083591721,0,2,6.908282454763223,39.11722243145991,11.21413236440792,61.855747767425434,42.191843431802184,59.820645369603966,3.2933804555151487,3.9356811633803894,1.6676504366533131,12.384059392089032,0.0,,,,,,,,,,,,COMPLETE
6,0.8166666666666667,2026-05-10 17:53:10.630796,2026-05-10 17:53:18.078934,0 days 00:00:07.448138,55.298292920380575,60.99720657456209,8.777460366237072,24.469847337302625,-14.245610797038516,-18.248080220925953,-9.030196830966627,-18.49275106319713,54.335193904900436,9.214484763662291,24.05571092366109,17.551459639307943,39.73106608861709,3,2,16.00969105472199,50.32196004251896,11.615502343873755,55.747084355412966,32.972727466300775,40.010046058849234,2.744079066741654,3.0187572418221613,2.0160549640257406,7.960144329024463,0.0,,,,,,,,,,,,COMPLETE
7,0.8066666666666666,2026-05-10 17:53:18.078983,2026-05-10 17:53:25.708497,0 days 00:00:07.629514,53.45140531263051,43.8484191742645,13.610306579337756,33.91216286191103,-27.338449878215542,-8.538600616382492,-18.020053776182024,-21.276731236171166,55.39265713947259,16.73275566443872,10.438645886598255,10.149344306232242,30.27240397421338,2,1,12.2495240202566,31.351070188333182,21.755663498499718,70.04804043972378,32.54255986160042,41.30532523562334,3.137381364500197,1.997491044768375,2.218230836765717,12.327153643130622,0.0,,,,,,,,,,,,COMPLETE
8,0.8666666666666667,2026-05-10 17:53:25.708547,2026-05-10 17:53:32.850591,0 days 00:00:07.142044,46.910762326875016,55.599767241221976,11.112877269400096,29.346797070999287,-21.399306322727398,-15.670490941007616,-12.597076078005156,-20.65331166234565,51.18129533567574,7.597344649820501,22.055648362914198,23.84802770392081,14.100000924514504,1,1,0.9668385646600441,41.20749795771362,19.16158130106567,61.7234422178012,36.713186759194585,77.15283495120731,3.1428016842171296,2.4798198248427816,3.696166254006976,10.916927741721821,0.0,,,,,,,,,,,,COMPLETE
9,0.8133333333333334,2026-05-10 17:53:32.850643,2026-05-10 17:53:40.474137,0 days 00:00:07.623494,75.85647615727397,46.652673782229414,12.66128762401114,37.02536772459861,-19.74354198233045,-16.78179130968291,-9.271469133576211,-12.256291131945154,46.56958761091771,11.837247461358658,15.070883938688967,9.819204437553026,13.25305841981856,2,1,13.971660307464854,58.171899569465914,15.41494137800503,36.92838611154542,26.301545360789557,45.114719621653464,2.3263004544516077,1.6920275409123284,2.0721722325945358,10.104015628910117,0.0,,,,,,,,,,,,COMPLETE
